Quarter,Date,Project
Q1,2023-01-12,Cacti
Q1,2023-01-12,Fabric
Q1,2023-01-26,Sawtooth
Q1,2023-02-02,Aries
Q1,2023-02-02,Indy
Q1,2023-02-02,AnonCreds
Q1,2023-02-09,Iroha
Q1,2023-02-16,Bevel
Q1,2023-02-23,Transact
Q1,2023-02-23,Solang
Q1,2023-03-02,Cello
Q1,2023-03-09,Firefly
Q1,2023-03-16,Ursa
Q1,2023-03-23,Besu
Q1,2023-03-23,Caliper
Q2,2023-04-13,Cacti
Q2,2023-04-13,Fabric
Q2,2023-04-27,Sawtooth
Q2,2023-05-04,Aries
Q2,2023-05-04,Indy
Q2,2023-05-04,AnonCreds
Q2,2023-05-11,Iroha
Q2,2023-05-18,Bevel
Q2,2023-06-01,Cello
Q2,2023-06-08,Firefly
Q2,2023-06-22,Besu
Q2,2023-06-22,Caliper
Q3,2023-07-13,Cacti
Q3,2023-07-13,Fabric
Q3,2023-07-27,Sawtooth
Q3,2023-08-03,Aries
Q3,2023-08-03,Indy
Q3,2023-08-03,AnonCreds
Q3,2023-08-10,Iroha
Q3,2023-08-17,Bevel
Q3,2023-08-31,Cello
Q3,2023-09-07,Firefly
Q3,2023-09-21,Besu
Q3,2023-09-21,Caliper
Q4,2023-10-12,Cacti
Q4,2023-10-12,Fabric
Q4,2023-10-26,Sawtooth
Q4,2023-11-09,Aries
Q4,2023-11-09,Indy
Q4,2023-11-09,Iroha
Q4,2023-11-09,AnonCreds
Q4,2023-11-16,Bevel
Q4,2023-11-30,Cello
Q4,2023-12-07,Besu
Q4,2023-12-07,Caliper
Q4,2023-12-07,Firefly
